username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
student_girl302,University Students,Follow My New UK Account ^_^,225,252,270,3,False,False
cpstudentorganization,CP Student Organization,instagram:carleplacestudentorganization,1152,14,53500,60,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
university_student,University_student,,137,0,0,0,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
nuts241,Student organization,คณะกรรมการองค์กรนักศึกษา สกร.ระดับเขตห้วยขวาง,482,87,15600,23,False,False
buildbetterfuture,Student Organization,,2501,84,68,0,False,True
student.organizat5,Student Organization TAKBAI,"องค์กรนักศึกษา สกร.อำเภอตากใบ
To be number one Takbai",14,0,12,2,False,False
student_girl302,University Students,Follow My New UK Account ^_^,225,252,270,3,False,False
university_student0,Hot,"I have a 30-year-old clothing factory in China.
call/WeChat：➕8613790609928",944,36,41,5,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
universitystudent.0,𝓤𝓷𝒾𝓋ℯ𝓇𝒾𝓈𝓉𝓎 ℊ𝒾𝓇𝓁,𝑖 𝑎𝑚 𝑢𝑛𝑖𝑣𝑒𝑟𝑖𝑠𝑡𝑦 𝑠𝑡𝑢𝑑𝑒𝑛𝑡 𝑖𝑛 𝑝𝑎𝑘𝑖𝑠𝑡𝑎𝑛,2535,12,23700,68,False,False
university_student,University_student,,137,0,0,0,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
university_student_,💙 Uni Student 💙,,282,2100,30600,0,False,True
user29abo_asad,university student,"كلية التربية (جامعه تكريت) 
علوم صرفة (قسم الرياضيات) 
(ابو اسد ❤)",8529,138,118600,266,False,False
nustudentunionn,Nile University Student Union,Nile University Student Union's official account on TikTok.,1152,0,6899,16,False,False
student.university6,STUDENT UNIVERSITY,"بكلوريوس مرحله ثانيه
مرحله ثانيه
العمر. 21",1070,1250,0,0,False,False
eulsa_,eulsa,The Legal Falcons Shall Spread Their Wings,10,0,35,3,False,False
unmstudentsassociation,Students’ Association,,30,0,62,4,False,False
edunistudentsassociation,UoE Students' Association,Official TikTok for Ed Uni Students’ Association 🎓,1833,76,15100,162,False,False
uopdsa,Desi Student Association,📍University of the Pacific,814,0,18500,11,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
university_student,University_student,,137,0,0,0,False,False
utg_nursingstudents,Nursing Student Association🩺,"University of the Gambia 

Nursing Students Association 🩺📚",2145,0,7707,9,False,False
saa_itk,Student Automotive Association,"🔧 Bengkel SAA 🔧
📩 studentautomotiveassociation15@gmail.com",18900,1,368900,35,False,False
all.university.st,All University students Union,All University students Union,45,143,0,0,False,False
user29abo_asad,university student,"كلية التربية (جامعه تكريت) 
علوم صرفة (قسم الرياضيات) 
(ابو اسد ❤)",8529,138,118600,266,False,False
custudentclub,CU STUDENT CLUB,"🌟 Building leadership, connections & growth through opportunities 🌟",10,0,0,0,False,False
bunny.university,user74988273802,No bio yet,1300000,36,26600000,107,True,False
university_student0,Hot,"I have a 30-year-old clothing factory in China.
call/WeChat：➕8613790609928",944,36,41,5,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
university_student,University_student,,137,0,0,0,False,False
student.club.by.tau.uniq,Students.clubs,הבית של הסטודנטים/ות בישראל👨‍💻,3499,517,43000,140,False,False
all.university.st,All University students Union,All University students Union,45,143,0,0,False,False
user29abo_asad,university student,"كلية التربية (جامعه تكريت) 
علوم صرفة (قسم الرياضيات) 
(ابو اسد ❤)",8529,138,118600,266,False,False
student.university6,STUDENT UNIVERSITY,"بكلوريوس مرحله ثانيه
مرحله ثانيه
العمر. 21",1070,1250,0,0,False,False
nustudentunionn,Nile University Student Union,Nile University Student Union's official account on TikTok.,1152,0,6899,16,False,False
jkusu1,Jinka university student union,"official account of Jinka university student union
   Join Telegram Channel 👇",5250,1,32500,42,False,False
all.university.st,All University students Union,All University students Union,45,143,0,0,False,False
ambo.university.s,Ambo university student union,,14,0,0,0,False,False
rmit_rusu,RMIT University Student Union,,20,2,0,0,False,False
unbsu,UNB Student Union,"Representing all Full & Part time 
undergraduate students at 
UNB 

www.unbsu.ca",302,28,2727,34,False,False
zusu_offical,Zcas University students union,Official Zcas University Students union TikTok channel.,343,2,962,20,False,False
my.nussu,NUS Students’ Union (NUSSU),Official NUS Students' Union TikTok Page,2749,3,13700,45,False,False
studentunion98,JiGJiGa University S.Union,,4834,4,38600,39,False,False
university_student0,Hot,"I have a 30-year-old clothing factory in China.
call/WeChat：➕8613790609928",944,36,41,5,False,False
