username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
business_university84,🔥💎BUSINESS UNIVERSITY💎🔥,"Dein Erfolg wartet🔥
Schreib mich an👨‍💻
Wir finden den genauen kurs für dich📈",117,279,2092,73,False,False
businessfraternity,business fraternity,Informal business podcast that interviews successful and trendy individuals.,6,0,30,6,False,False
fraternity_,Fraternity,,8599,3,6079,0,False,False
university_bu,Business University,"https://discord.gg/dUyKxX6Ybp
www.cutt.ly/fCGpXic
Get rich Now! 
     ⏬",1170,8176,106,15,False,False
business_university_,business.university,DM moi sur insta pour faire de l’argent🚀,27,12,391,9,False,False
moneybusinessuniversity,MoneyBusinessUniversity,"Luxury Motivation | Elevated Lifestyle 

Instagram- moneybusinessuniversity 

📈",613,163,1294,21,False,False
universitybusines,universitybusines,,0,0,0,0,False,False
buisnessuniversity,BuisnessUniversity,"Si quieres cambiar tu vida envíame un DM""campus""🙏🏼🏆

No dudes más 👇🏼👇🏼",84000,8,4700000,341,False,False
businessuniversity,Business University,"MOTIVATION | SUCCESS
more coming soon 🔋",12,0,241,8,False,False
business_university84,🔥💎BUSINESS UNIVERSITY💎🔥,"Dein Erfolg wartet🔥
Schreib mich an👨‍💻
Wir finden den genauen kurs für dich📈",117,279,2092,73,False,False
university_bu,Business University,"https://discord.gg/dUyKxX6Ybp
www.cutt.ly/fCGpXic
Get rich Now! 
     ⏬",1170,8176,106,15,False,False
business_university_,business.university,DM moi sur insta pour faire de l’argent🚀,27,12,391,9,False,False
acledauniversitybusiness,ACLEDA University of Business,The University for your Successful Professional Career.,3450,3,29900,364,False,False
moneybusinessuniversity,MoneyBusinessUniversity,"Luxury Motivation | Elevated Lifestyle 

Instagram- moneybusinessuniversity 

📈",613,163,1294,21,False,False
businessuniversityplus,Business University Plus,"Learn How Business Works. Build a Company. Grow a Company. 💎✨️
Begin Now 🌏✨️",28,0,225,72,False,False
businessuniversity,Business University,"MOTIVATION | SUCCESS
more coming soon 🔋",12,0,241,8,False,False
universitybusines,universitybusines,,0,0,0,0,False,False
luxurybusinessuniversity,luxurybusinessuniversity,"💵 Pokazuje jak zarabiać 
🚀 Zarabianie Online
💎 Skuteczne szkolenia",447,21,4174,19,False,False
university_business,university business secret,"tiktoknews
pourtoi
tiktok",0,0,0,0,False,False
morshedalam614,DXN NETWORK MARKETING BUSINESS,"Dxn Morshed Singapore @
WhatsApp+6585169257",2418,6055,6358,317,False,False
universityesportsnetwork,University Esports Network,University Esports Network - UEN 🇲🇲,1096,7,7417,21,False,False
business_university_,business.university,DM moi sur insta pour faire de l’argent🚀,27,12,391,9,False,False
businessuniversityplus,Business University Plus,"Learn How Business Works. Build a Company. Grow a Company. 💎✨️
Begin Now 🌏✨️",28,0,225,72,False,False
wakaniaruniversity,𝗪𝗮𝗸𝗮𝗻𝗶𝗮𝗿𝘂 University,Business 👉 0716456964,367200,4,7000000,258,False,False
studentuniversitynetwork,Student University Network,"Benvenut*! 
Svolta la tua vita universitaria
Festival - Party - Experience",270,6,39600,31,False,False
universitynetwork,University Network,Distribuidora de Fibra y Móvil especializada en soluciones para Universitarios.,1966,28,107,16,False,False
businessuniversity,Business University,"MOTIVATION | SUCCESS
more coming soon 🔋",12,0,241,8,False,False
university_bu,Business University,"https://discord.gg/dUyKxX6Ybp
www.cutt.ly/fCGpXic
Get rich Now! 
     ⏬",1170,8176,106,15,False,False
university.network,University Network,✨ Al tuo fianco durante il percorso universitario ✨,6372,30,421300,432,False,False
universbusinessgroup.sn,Univers Business groupe (UBG),"Contactez vous UBG sur 783684357
Votre boutique de vente en ligne 🎉🎉✅",1002,7700,935,10,False,False
ubc_pte,University Business Club - PTE,"🔴 Shape the FUTURE🔴
⚫ Lead the BUSINESS⚫
⚪Together at UBC⚪
 www.ubc-pte.hu",139,10,9579,36,False,False
business_university84,🔥💎BUSINESS UNIVERSITY💎🔥,"Dein Erfolg wartet🔥
Schreib mich an👨‍💻
Wir finden den genauen kurs für dich📈",117,279,2092,73,False,False
universbusinessgroupe.sn,universbusinessgroupe.sn,"UNIVERS BUSINESS GROUPE (UBG )🚢👑🚨✈️
 783684357",196,214,1313,19,False,False
universbusinessgroup,UBG immo,"✅Construction 🏗️
✅Rénovation
✅Gestion Locative 
TEL: 77 192 94 84",13000,5224,2538,11,False,False
acledauniversitybusiness,ACLEDA University of Business,The University for your Successful Professional Career.,3450,3,29900,364,False,False
universbusinesspro,Univers Business Pro,"let go💪 Business, Argent ♥️♥️ Produits de santé, Beauté🔔🔔 Naturel et Bio🤣🤣",49700,53,108200,25,False,False
businessuniversityplus,Business University Plus,"Learn How Business Works. Build a Company. Grow a Company. 💎✨️
Begin Now 🌏✨️",28,0,225,72,False,False
business_university_,business.university,DM moi sur insta pour faire de l’argent🚀,27,12,391,9,False,False
buisnessuniversity,BuisnessUniversity,"Si quieres cambiar tu vida envíame un DM""campus""🙏🏼🏆

No dudes más 👇🏼👇🏼",84000,8,4700000,341,False,False
_edubusiness,Edu Business,O Sucesso é questão de decisão!🦅,26,14,111,8,False,False
organization.busi,organization business,,1,0,0,0,False,False
euedubusiness,Edu Business,"Aprenda agora como ganhar 💰 através do seu celular
Clique aqui em baixo e saib",8835,257,76900,127,False,False
edu._business,eduBusiness,"🪐|FAZENDO DINHEIRO NA ADOLECÊNCIA
CLIQUE AQUI",43,550,173,6,False,False
student.organizat,Student Organization Of Azza,,15,4,0,0,False,False
student.organizat5,Student Organization TAKBAI,"องค์กรนักศึกษา สกร.อำเภอตากใบ
To be number one Takbai",14,0,12,2,False,False
business.organiza,business organization,,4,0,0,0,False,False
student_organization,องค์การนศ.65 วชช.ระนอง💚💛,ฝากรีโพสต์คลิปด้วยเน้อคนน่ารัก💖 Collegeranong2565@gmail.com,452,643,1543,35,False,False
studentorganization.npru,องค์การนักศึกษามรน. NPRU,"Instagram : so.npru
Page Facebook: องค์การนักศึกษามหาวิทยาลัยราชภัฏนครปฐม",675,31,8095,7,False,False
nuts241,Student organization,คณะกรรมการองค์กรนักศึกษา สกร.ระดับเขตห้วยขวาง,482,87,15600,23,False,False
claireandedrileyebc,Education Business Club,We help teachers start and grow education businesses. Classroom Secrets founders,56,65,901,44,False,False
business.club.1,Business Club 💸🎓,,18,1,353,0,False,True
bsinessclub,BusinessClub®,"stay true. own it.
follow us on IG @bsinessclub",4632,35,89100,59,False,False
leila.business.digital,leila.club.business.en.ligne,"✨ Ici le club des ambitieux.ses ✅
💶BUSINESS / MINDSET 🧠
👇 Commence ici",25800,3,150800,747,False,False
_edubusiness,Edu Business,O Sucesso é questão de decisão!🦅,26,14,111,8,False,False
edu.business0,Edu Business,➡️PLRS NA BIO DO INSTA⬅️☝️,12,1,237,13,False,False
edubusinesschnl,edubusinesschnl,Check out our YouTube channel: https://youtube.com/@educationalbusinesschannel,11,0,485,3,False,False
edubusiness,edubusiness,,6,250,0,0,False,True
euedubusiness,Edu Business,"Aprenda agora como ganhar 💰 através do seu celular
Clique aqui em baixo e saib",8835,257,76900,127,False,False
edu._business,eduBusiness,"🪐|FAZENDO DINHEIRO NA ADOLECÊNCIA
CLIQUE AQUI",43,550,173,6,False,False
business.society,Business Society,"BUSINESS/SUCCES/PROSPERITY
💸/🚀/🔥",2,0,2,4,False,False
student_society,Student Society,,38,5,0,0,False,False
herbusinessociety,Her Business Society,"Business. Branding. Growth.
IG @herbusinessociety",5044,28,85200,10,False,False
businessstudentsociety,BSS AUB,"Where AUB's future pride unite 🕺🏻🕺🏻
🔗CRN:5014",146,0,1403,10,False,False
subsoc,Sydney Uni Business Society,Official faculty society for the University of Sydney Business School 📖,486,8,274600,73,False,False
stud.society,Stud Society,"De mooiste piercings, permanente armbanden en toothgems in Groningen & Zwolle💕",2367,11,3811,3,False,False
student.edu.sg,student.edu.sg,,9,1,22,1,False,False
student__business,STUDENTBUSINESS,,10,1,16,4,False,False
bunerstudentssocietysuit,BUNER Students society (SUIT),BUNER STUDENTS SOCIETY (sarhad university peshawar ) 🫀,32,1,914,10,False,False
student.society,Student Society,,1,3,2,1,False,False
education.business,education.business,Paste this link for business tips! https://haroldmallion.systeme.io/7f245ed7,12,7,683,58,False,False
usabusinessassociation,usabusinessassociation,,24,13,55,6,False,False
_edubusiness,Edu Business,O Sucesso é questão de decisão!🦅,26,14,111,8,False,False
association.business,ASSOCIATION.BUSINESS,Treinador e palestras em desenvolvimento humano de automotivação.,190,1238,24,7,False,False
businessedu.co,Business Education,"Jangan tunggu menit terakhir, kuota bisa habis kapan aja! DAFTAR SEKARANG 👇",13400,2,1579,69,False,False
associationofbusinesses,associationofbusinesses,"מערך תמיכה וליווי עסקי לעסקים
טלפון: 0503670790
אתר: https://israelbiz.org.il/",78,330,126,21,False,False
euedubusiness,Edu Business,"Aprenda agora como ganhar 💰 através do seu celular
Clique aqui em baixo e saib",8835,257,76900,127,False,False
ndbabiz,ND Business Association,"We SERVE Members, HELP them LEAD & GROW their business, & DO things DiFFerENTly.",5,0,33,159,False,False
business_edu_,Business Education,🇨🇳 Çindən Azərbaycana sifariş etmə kurs proqramı❗️😍,103,0,296,10,False,False
association.busin,Association business service,,70,0,3,2,False,False
businessfraternity,business fraternity,Informal business podcast that interviews successful and trendy individuals.,6,0,30,6,False,False
_edubusiness,Edu Business,O Sucesso é questão de decisão!🦅,26,14,111,8,False,False
edubusiness.us,Edu.Business,,48,208,24,15,False,False
edubusiness3,Edu-business,Fb: Eduardo Amador 🎶💎,31,9,243,3,False,False
euedubusiness,Edu Business,"Aprenda agora como ganhar 💰 através do seu celular
Clique aqui em baixo e saib",8835,257,76900,127,False,False
edu_business_kz,EDU BUSINESS✓,No bio yet,4,5,117,4,False,False
education.business,education.business,Paste this link for business tips! https://haroldmallion.systeme.io/7f245ed7,12,7,683,58,False,False
edu._business,eduBusiness,"🪐|FAZENDO DINHEIRO NA ADOLECÊNCIA
CLIQUE AQUI",43,550,173,6,False,False
edu.business0,Edu Business,➡️PLRS NA BIO DO INSTA⬅️☝️,12,1,237,13,False,False
_edubusiness,Edu Business,O Sucesso é questão de decisão!🦅,26,14,111,8,False,False
edubusiness.us,Edu.Business,,48,208,24,15,False,False
euedubusiness,Edu Business,"Aprenda agora como ganhar 💰 através do seu celular
Clique aqui em baixo e saib",8835,257,76900,127,False,False
edubusiness3,Edu-business,Fb: Eduardo Amador 🎶💎,31,9,243,3,False,False
.geo.business.edu,GEO.business.education,,114,0,2654,5,False,False
edu.business.scho,EDU Business School,,381,637,247,17,False,False
edu._business,eduBusiness,"🪐|FAZENDO DINHEIRO NA ADOLECÊNCIA
CLIQUE AQUI",43,550,173,6,False,False
edubusiness2,edubusiness2,,69,1568,0,0,False,False
edu.business0,Edu Business,➡️PLRS NA BIO DO INSTA⬅️☝️,12,1,237,13,False,False
economics.student,Economics student,"Dijital notes
Study
Economics student",110,2,97,10,False,False
_student_of_economicz_,ECONOMICS STUDENT,I love you even when I hate you.,262,487,44,3,False,False
nigerianeconomicsstudent,NESA,,70,16,585,7,False,False
iktisat.rencisi,Economics student,"""International student life""
مَنْ سَجَدَ وَ جَدَ
💚🌿",52,0,2514,24,False,False
economicstudent,Economics Student,,24,2,0,0,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
ecomicsuniversity,Economics University,"Learn about the production, distribution, and consumption of goods and service",15,0,0,0,False,False
universityeconomi,UniversityEconomics🦊,,11,0,71,2,False,False
bu.ecosoc_official,Bicol University Economics,,78,0,1013,7,False,False
economics.club1,Economics club 💡,"Today's economy , tomorrow's future 💡",21,3,140,3,False,False
universityclubapts,University Club,"www.universityclubtulsa.com 
1722 S Carson Avenue 
Tulsa, OK 74119",120,22,4113,145,False,False
smuoikos,SMU Economics Society | OIKOS,SMU Economics Society (OIKOS),149,23,1819,57,False,False
universityeconomi,UniversityEconomics🦊,,11,0,71,2,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
associationunivers,associationunivers,Mail à contacter associationunivers09@gmail.com,113,0,89,3,False,False
universityeconomi,UniversityEconomics🦊,,11,0,71,2,False,False
newseconomic,newseconomic,whatever trending in the world,44100,29,31400,22,False,False
universityeconomi,UniversityEconomics🦊,,11,0,71,2,False,False
economicsclubukm,Kelab Ekonomi UKM,Penggerak Ekonomi Kritis,148,3,2758,34,False,False
