username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
ksu_gossip_club,KISII UNIVERSITY GOSSIP CLUB,"We give all the mushene in campus and campus area,
We are here for every comrade",18700,1,169000,147,False,False
savannahuniversityclub,SAVANNAH UNIVERSITY CLUB,4K🙏✅,3143,49,58100,120,False,False
gretsa.university,GRETSA UNIVERSITY FOOTBAL CLUB,,142,32,110,18,False,False
tech,UNILAD Tech,The best gadgets and innovations from the world of science and technology 🚀📱🚙,2000000,12,34900000,1025,True,False
linustech,Linus Tech Tips,"The official TikTok of Linus Tech Tips.

Check us out on Youtube too!",1300000,48,22500000,472,True,False
blacktechniques,Tech⚡️,"Business: Blacktechniques@gmail.com
Love you all",41400,77,3000000,404,False,False
techhub.in.th,Techhub,Update ข่าวไอที รวม How To เข้าใจง่าย และ Tip พร้อมใช้สำหรับทุกคน,548800,2,7000000,1093,True,False
nathantech4,tech,⬇️voici le lien ⬇️,2400000,6,7100000,130,False,False
heyfanztech,Fanz Tech,"Tech Tips - Apps - Tips AI
Business: +62 821 7478 8574
irfanztechbrand@gmail.com",1300000,64,20000000,282,False,False
techaitec,Tech Ai,"🔬Tech Creator 💻
🖥️All Types of Computer Education Basic to Advanced🚀",1200000,0,5700000,149,False,False
techandroid42,tech-android,apprenez chaque jour de nouvelles choses avec tech_android 📲💻📱🖥,1900000,211,5800000,189,False,False
zaids.tech,Zaid Salameh,"👨‍💻 مهندس كمبيوتر  
أشارك أدوات وتقنيات تسهّل حياتك  
Contact ⬇️",1200000,686,10100000,1469,True,False
tatechtips,TA TECH TIPS,"🔥 Tech Tips from Nick B 🔥
Enquiries: 📧 hello@TheGoldStudios.com",3300000,50,30500000,1517,True,False
unicouniuni,I’m Uni.,"Born Mar 27, 2020 | Japanese Minuet
Literally :3 cat (and maybe the strongest)",1700000,32,40000000,185,False,False
uni8298,uni,,165,431,1540,224,False,False
uniseran0298,Uni🌼,"Live Setiap Pagi 🌄😇

Follow Fb : Uni S",128200,3201,1000000,572,False,False
unina.28,_uni ᥫ᭡,🏡: Wonosobo,79600,195,421500,116,False,False
uni0cc_,Uni,"✹✹✹

X ,Instagram : Uni0cc_
@Antinomy-天使と悪魔の箱庭-",12900,61,127400,8,False,False
wahyuni_alwi,Uni,"Creator Sepak takraw

https://www.youtube.com/@Wahyuni_alwi",38900,246,486400,705,False,False
unirozalisna,Uni Rozalisna_3,Yg mau berbagi bisa dm uni,930700,1949,44300000,509,False,False
.iniuni,Uni🐝,ig yraaxzz_,486,25,3166,7,False,False
itsmeunise,Uni,"OPEN FOR COLLABORATION
   tadounise15@gmail.com",427100,4,8400000,1049,False,False
unis_offcl,UNIS,UNIS(유니스) Official TikTok,2500000,1,88400000,511,True,False
01edu.62,Edu.Oficial,"✝️Cristo✝️
🥇TOP 1 @Miguel Becker   🥇
🥈CONTA 2@edu2 🥈
📱MOBILE📱
👇COMUNITY👇",162000,140,1500000,348,False,False
eduhernandezbelmez,.edu,vivo mi vida con esclerosis multiples hace 10 años nada es facil pero la vida sg,1670,2025,22700,211,False,False
safe.education,safe.education,安全な教育,1700000,345,19600000,584,False,False
.edudubs,edu,"Dublagens. 📌
🎧🎙📻",36800,15,406500,33,False,False
edutrv,Edu.trv💎,🇲🇽🇺🇸,2000000,32,26400000,864,False,False
.edu.134,.Edu.,,21,972,0,0,False,True
._.edu43,.𝐞𝐝𝐮.,:),4193,7798,1,0,False,False
eduar9.0,.edu,"he si soy
amo tito",231,62,3,0,False,False
eduardo_lz19,Edu 🥷🏾,"@Eduardo💀 
📍Miranda, Barlovento.
✝️ Aquí vamos es con Dios ✝️",711600,66,7900000,31,False,False
_eduardo.0,. Edu,,80,129,55,0,False,True
google,Google,Here to help,3000000,0,12600000,650,True,False
googlezii,🦋Google🦋,"คนไทยมาเที่ยว🇱🇦😉
ติดต่องาน DM ไอจีนะคะ💕
IG : glezii
พิกัดของ🍊👇🏻",521900,176,10800000,921,False,False
googlepixel,Google Pixel,On ☁️ 9,920900,51,14400000,540,True,False
googleindonesia,Google Indonesia,Ayo pake Gemini buat semua urusan 👇🏽,890500,2,11400000,889,True,False
google.tricksxd,✨Google Tricks✨,"Cool Google Tricks!

✨2 Owners✨
 ❤️ We love all of you❤️",760400,0,6000000,45,False,False
hidden.on.google.earth,Google Earth,"🌎Hidden On Google Earth
👁️Thanks for 6 Million!

gearth455@gmail.com",6000000,119,72700000,1121,False,False
sheetgeek,Champion: Google Sheets Tips,"📚 Google Sheets Tips
👨‍🏫 I build dashboards for businesses
FREE Templates 👇",2100000,134,11900000,227,False,False
googleworkspace,Google Workspace,Try Google Workspace with Gemini👇,25900,4,75400,212,True,False
googlemapsfun,googlemapsfun,"Exploring the world 🌎
Entertainment, Mysteries and Maps 📍",9800000,4947,248300000,2158,False,False
bimatgoogle,Đàm Hùng Google,"Tản mạn công nghệ, lập trình, tự động hóa, AI, vlog
Fw: SubVietGroups@gmail.com",1300000,2867,19000000,520,True,False
gdscars,gdscars,"Making people smile through cars
gdscars3@gmail.com",225500,113,13400000,475,False,False
gdsc266,gdsc,"🌿 Adiós estrés. 🌿
Calma y buena vibra para ti. 💆‍♂️",6437,1,7810,116,False,False
gdsc_,Gwyneth Dennisse,Arkin's momma 🤍,3396,203,9703,95,False,False
gdscmeuk3cq,gdscmeuk3cq,,9784,1,8956,219,False,False
divadgsc,GDSC,,4201,4353,23200,124,False,False
gdsc306,gdsc,,2,0,179,6,False,False
gdsc104,gdsc,,7,6,257,9,False,False
gdsc.su,GDSC,نادي قوقل للطلبة المطورين في جامعة صحار نهدف إلى نشر المعرفه التقنيه🦾,14,0,128,6,False,False
gdsc080,GDSC,,7,0,12,1,False,False
gdsccollegeofelec,GDSC,نادي قوقل للطلبة المطورين، بكلية التقنية الإلكترونية/ طرابلس,45,22,92,14,False,False
computer.assembly,computer assembly💻,Professional computer assembly💻😎,679900,12,10100000,167,False,False
computer_geeks,Computer Geeks,"Tech Content Creator
Let's Learn Together
| TECH Tricks 📱| AI Tools| 1M Insta",370700,9,1100000,881,False,False
daotaotinhoc.vn,Thầy Vinh Tin học văn phòng,"Thầy Vinh tin học văn phòng
đào tạo Excel, Word, Powerpoint từ cơ bản - nâng cao",805800,51,3200000,1099,True,False
cataclysmcomputers,Cataclysm Computers,"I’m Josh Evans 😊
🚚 Free Delivery ✅ 3 Year Warranty
#1 in Australia for PCs",362500,24,6300000,191,False,False
computer_art003,JADE COMPUTER WOMAN,"JADECOMPUTER_WOMOAN
She/her
I am 17 years old",66000,5714,879300,104,False,False
computercloset,computercloset,"CEO of computers🔥😳🥶😼

Business Inquiries ⬇️

contactcomputercloset@gmail.com",412700,91,17300000,303,False,False
computertricks23,Computer tricks,"❤️ welcome to my TikTok profile❤️
     computertricks23
subscribe my YouTube ch.",153500,4,842800,284,False,False
computersays.no,Computersays.no,🕳🐇,103300,7,8000000,42,False,False
computer.shortcuts,Computer Shortcut,"computershortcutss@gmail.com

Get Free Pro Guides, Funny Excel Tees
       👇",102300,0,331200,73,False,False
nut.mncomputer,นัท MNcomputer,"ติดต่องานต่างๆๆ คอมพิวเตอร์ Printer  
👇💻🖥️🔧🖥️💻👇",352800,8,5600000,3816,False,False
ventifriedchicken,Joshua W. | Cloud Computing,"☁️ Cloud Computing
💻 Tech 🎤 Audio 💼 Business
#cloudGang
👇🏾Learn Cloud",27600,2006,214400,729,False,False
computingrevision,Training Village,Helping YOU with GCSE/ALEVEL Computer Science,21600,0,118100,99,False,False
crossdresseronline,Computing,"18
He/Him
Diagnosed Autistic",387,210,8592,185,False,False
computingrag,ComRAG 2025💫,JOIN US FOR COMRAG 2025💫✨,107,5,721,17,False,False
yas_computing,Yas Computers & CCTV,"CCTV CAMERAS, COMPUTERS, PRINTER, NETWORKING, IT CONSULTANT
DIRE DAWA DIPO MALL",27200,4370,66800,204,False,False
computer_art003,JADE COMPUTER WOMAN,"JADECOMPUTER_WOMOAN
She/her
I am 17 years old",66000,5714,879300,104,False,False
computing_mar,ComputingMar,"Twitch: ComputingMar 🟣
YouTube: ComputingMar 🔴⚪️
Content Creator 🎮",1493,0,7,0,False,False
arkcomputing,Ark,New Ar(k)c... haha get it,31500,103,135300,8,False,False
txchien1109y,Computing,,0,4,21,4,False,False
computingbolivia,Computing Bolivia,Sistemas de seguridad Electrónico contacto   75926007,842,568,17000,52,False,False
